scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2.4,0.004,0.0,0.004,0.0028785714285714283,13,0,0.002,0.003,0.005,0,0.004,0.002,0.006,0,0.006999999999999999,0.002,0.009
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2,0.002,0.0,0.002,0.001407142857142857,13,0,0.002,0.001,0.003,0,0.003,0.001,0.004,0,0.005,0.001,0.006
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2.2,0.003,0.0,0.003,0.0014642857142857144,13,0,0.003,0.001,0.004,0,0.006,0.001,0.007,1,0.011,0.0,0.011
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2.3,0.894,0.545,0.349,0.2563428571428571,13,0,0.10400000000000009,0.831,0.935,0,0.19999999999999996,0.765,0.965,0,0.268,0.709,0.977
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2.4:160K,0.0,0.0,0.0,9.285714285714289e-05,13,1,0.0,0.0,0.0,1,0.002,0.0,0.002,1,0.005,0.0,0.005
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2.4:62R-158D-160K-328A,0.0,0.0,0.0,1.4285714285714297e-05,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2.4:79V-144N-158D-160K-328A,0.003,0.0,0.003,0.0027642857142857143,13,0,0.009999999999999998,0.001,0.011,1,0.027,0.0,0.027,1,0.079,0.0,0.079
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,K,0.081,0.455,0.374,0.28756428571428577,13,0,0.087,0.04,0.127,0,0.184,0.02,0.204,0,0.253,0.008,0.261
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,K:145N,0.0,0.0,0.0,0.00030714285714285723,13,1,0.001,0.0,0.001,1,0.005,0.0,0.005,1,0.013,0.0,0.013
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,K:272T,0.0,0.0,0.0,0.00015000000000000001,13,1,0.0,0.0,0.0,1,0.003,0.0,0.003,1,0.009,0.0,0.009
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,K:80K,0.0,0.0,0.0,0.0006357142857142858,13,1,0.002,0.0,0.002,1,0.01,0.0,0.01,1,0.029,0.0,0.029
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,K:88I,0.0,0.0,0.0,0.00021428571428571436,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.012,0.0,0.012
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,South America,J.2.4,0.0,0.0,0.0,0.0001142857142857143,13,1,0.001,0.0,0.001,1,0.001,0.0,0.001,1,0.002,0.0,0.002
